,all_data,gpt,counts,script,gpt_script
284,P6545346Tgqd,"""P6545346Tgqd"" : 7; [6, 5, 4, 5, 3, 4, 6]",7,7,7
285,n6le4029,"n6le4029 : 4; [6, 4, 0, 2, 9]",4,5,5
286,iYgeRNq,"""iYgeRNq"" : 0; []",0,0,0
287,328Bye19f325ks4w,"328Bye19f325ks4w : 8; [3, 2, 8, 1, 9, 3, 2, 5]",8,9,9
288,8po2Ech29U3,"""8po2Ech29U3"" : 5; [8, 2, 2, 9, 3]",5,5,5
289,WNSYrZMdH,"""WNSYrZMdH"" : 0; []",0,0,0
290,LX4R676,"""LX4R676"" : 3; [4, 6, 7]",3,4,4
291,EEVnql,EEVnql : 0; [],0,0,0
292,2E1Jo5fI7ck39v,"""2E1Jo5fI7ck39v"" : 6; [2, 1, 5, 7, 3, 9]",6,6,6
293,ZLsIjZK,ZLsIjZK : 0; [],0,0,0
294,waJYwm9RWnb,"""waJYwm9RWnb"" : 1; [9]",1,1,1
295,0Co7Oo6Hyph5417An4,"""0Co7Oo6Hyph5417An4"" : 7; [0, 7, 6, 5, 4, 1, 4]",7,8,8
296,11bW96GCVP5tf6,"""11bW96GCVP5tf6"" : 5; [1, 1, 9, 6, 5]",5,6,6
297,hiDPvLyx,"""hiDPvLyx"" : 0; []",0,0,0
298,qI8b2T2guddcM06,"""qI8b2T2guddcM06"" : 5; [8, 2, 2, 0, 6]",5,5,5
299,5Q38104q2ICe1,"""5Q38104q2ICe1"" : 6; [5, 3, 8, 1, 0, 4, 2, 1]",6,8,8
300,QymkkcKsQ,"""QymkkcKsQ"" : 0; []",0,0,0
301,uQXLzPx5SC,"""uQXLzPx5SC"" : 1; [5]",1,1,1
302,HJ2,"""HJ2"" : 1; [2]",1,1,1
303,evFB,evFB : 0; [],0,0,0
304,4IjG,"""4IjG"" : 1; [4]",1,1,1
305,yerS4xX,"""yerS4xX"" : 1; [4]",1,1,1
306,kmk87KwRT,"""kmk87KwRT"" : 2; [8, 7]",2,2,2
307,5k13RN1g01,"""5k13RN1g01"" : 6; [5, 1, 3, 1, 0, 1]",6,6,6
308,xQ1389x7l0fJAP,"""xQ1389x7l0fJAP"" : 5; [1, 3, 8, 9, 7]",5,6,6
309,93Ha02D66mI96m,"""93Ha02D66mI96m"" : 8; [9, 3, 0, 2, 6, 6, 9, 6]",8,8,8
310,tmbaF,"""tmbaF"" : 0; []",0,0,0
311,pR06YXJWS,"pR06YXJWS : 2; [0, 6]",2,2,2
312,f6t2n2Wm62b03O4V,"""f6t2n2Wm62b03O4V"" : 8; [6, 2, 2, 6, 2, 0, 3, 4]",8,8,8
313,NoPtzHzbFf,"""NoPtzHzbFf"" : 0; []",0,0,0
314,42w3gG37O,"""42w3gG37O"" : 5; [4, 2, 3, 3, 7]",5,5,5
315,8IVf1A,"""8IVf1A"" : 2; [8, 1]",2,2,2
316,5jG9qAkZB71cq,"""5jG9qAkZB71cq"" : 4; [5, 9, 7, 1]",4,4,4
317,qsvzCmp,"""qsvzCmp"" : 0; []",0,0,0
318,ww14,"""ww14"" : 2; [1, 4]",2,2,2
319,4783c934v,"""4783c934v"" : 6; [4, 7, 8, 3, 9, 4]",6,7,7
320,0pI2xC43F789am,"""0pI2xC43F789am"" : 6; [0, 2, 4, 3, 7, 8]",6,7,7
321,23w6yC,"""23w6yC"" : 3; [2, 3, 6]",3,3,3
322,v5tcL95WY95tpC,"""v5tcL95WY95tpC"" : 4; [5, 9, 5, 9]",4,5,5
323,LyK5h5ZQSwb9r,"LyK5h5ZQSwb9r : 4; [5, 5, 9, 9]",4,3,3
324,TppBsV0sy,"""TppBsV0sy"" : 1; [0]",1,1,1
325,U9R,"""U9R"" : 1; [9]",1,1,1
326,3a78FpIg6,"""3a78FpIg6"" : 4; [3, 7, 8, 6]",4,4,4
327,5SRg2JWAz583gBO,"""5SRg2JWAz583gBO"" : 6; [5, 2, 5, 8, 3, 3]",6,5,5
328,N3a733493boQx6,"""N3a733493boQx6"" : 7; [3, 7, 3, 3, 4, 9, 6]",7,8,8
329,2v04w,"""2v04w"" : 2; [0, 4]",2,3,3
330,212g0X38g5TE41s,"""212g0X38g5TE41s"" : 6; [2, 1, 2, 0, 3, 8, 5, 4, 1]",6,9,9
331,cSe62,"""cSe62"" : 2; [6, 2]",2,2,2
332,g08w410tp,"""g08w410tp"" : 5; [0, 8, 4, 1, 0]",5,5,5
333,11W793K58,"11W793K58 : 5; [1, 1, 7, 9, 3, 5, 8]",5,7,7
334,Lk7PtfNv7gXG,"""Lk7PtfNv7gXG"" : 3; [7, 7, 7]",3,2,2
335,56j3YHfd8rPfp,"""56j3YHfd8rPfp"" : 4; [5, 6, 3, 8]",4,4,4
336,557u78M4916,"557u78M4916 : 7; [5, 5, 7, 7, 4, 9, 1, 6]",7,9,9
337,OIxpUi5s7Z8e,"OIxpUi5s7Z8e : 3; [5, 7, 8]",3,3,3
338,hk3UrX5,"""hk3UrX5"" : 2; [3, 5]",2,2,2
339,96yQ288W,"""96yQ288W"" : 5; [9, 6, 2, 8, 8]",5,5,5
340,q223176uAy1,"""q223176uAy1"" : 6; [2, 2, 3, 1, 7, 1]",6,7,7
341,ctgA0m55450eZLH,"""ctgA0m55450eZLH"" : 7; [0, 5, 5, 4, 5, 0, 4]",7,6,6
342,e8yNUi6g27vd2zp3324,"""e8yNUi6g27vd2zp3324"" : 10; [8, 6, 2, 7, 2, 3, 3, 2, 4]",10,9,9
343,eicYKPKxSV0,"""eicYKPKxSV0"" : 1; [0]",1,1,1
344,m1TkA,m1TkA : 1; [1],1,1,1
345,5k411158M,"""5k411158M"" : 7; [5, 4, 1, 1, 1, 5, 8]",7,7,7
346,K4474h35dV6zWO,"K4474h35dV6zWO : 6; [4, 4, 7, 3, 5, 6]",6,7,7
347,iqdoAoGmY,"""iqdoAoGmY"" : 0; []",0,0,0
348,858v7A49,"""858v7A49"" : 5; [8, 5, 8, 7, 4, 9]",5,6,6
349,3t4603Xc1Q748Z,"""3t4603Xc1Q748Z"" : 7; [3, 4, 6, 0, 3, 1, 7]",7,9,9
350,8hz09h2v3tt0086,"""8hz09h2v3tt0086"" : 6; [8, 0, 9, 2, 3, 0, 0, 8, 6]",6,9,9
351,62USHK6,"""62USHK6"" : 2; [6, 2]",2,3,3
352,qFKTT1L8YGO2x5,"qFKTT1L8YGO2x5 : 4; [1, 8, 2, 5]",4,4,4
353,bjeqMdJ8,"""bjeqMdJ8"" : 1; [8]",1,1,1
354,8P5sW53205j36,"""8P5sW53205j36"" : 7; [8, 5, 5, 3, 2, 0, 5]",7,9,9
355,kFFOtw,"""kFFOtw"" : 0; []",0,0,0
356,6G66c2864,"""6G66c2864"" : 6; [6, 6, 2, 8, 6, 4]",6,7,7
357,pbaA3nbr756Mt5,"""pbaA3nbr756Mt5"" : 5; [3, 7, 5, 6, 5]",5,5,5
358,4y89XuQoCG,"""4y89XuQoCG"" : 3; [4, 8, 9]",3,3,3
359,0Pt62Vt158,"""0Pt62Vt158"" : 4; [0, 6, 2, 1, 5, 8]",4,6,6
360,9SE5170dp008,"""9SE5170dp008"" : 6; [9, 5, 1, 7, 0, 0, 8]",6,8,8
361,j935OPc,"""j935OPc"" : 3; [9, 3, 5]",3,3,3
362,6UHL0Z4xBe,"""6UHL0Z4xBe"" : 3; [6, 0, 4]",3,3,3
363,CK4Usp7knyTC,"CK4Usp7knyTC : 2; [4, 7]",2,2,2
364,Nz1zb2RwpK4kW,"""Nz1zb2RwpK4kW"" : 4; [1, 2, 4, 4]",4,3,3
365,wwFRji,"""wwFRji"" : 0; []",0,0,0
366,c3383675Q8,"""c3383675Q8"" : 7; [3, 3, 8, 3, 6, 7, 5]",7,8,8
367,lz681a0e,"""lz681a0e"" : 4; [6, 8, 1, 0]",4,4,4
368,6Y69C5BG70JRUe,"""6Y69C5BG70JRUe"" : 6; [6, 6, 9, 5, 7, 0]",6,6,6
369,e4e80n61bXK69d,"e4e80n61bXK69d : 6; [4, 8, 6, 9, 6, 1]",6,7,7
370,fq86E2in,"""fq86E2in"" : 3; [8, 6, 2]",3,3,3
371,eN995yv4,"""eN995yv4"" : 3; [9, 9, 4]",3,4,4
372,L3B41,"""L3B41"" : 3; [3, 4, 1]",3,3,3
373,9MTRShcA,"""9MTRShcA"" : 1; [9]",1,1,1
374,51z1260Ft,"""51z1260Ft"" : 6; [5, 1, 1, 2, 6, 0]",6,6,6
375,1215V2JA00C22,"""1215V2JA00C22"" : 6; [1, 2, 1, 5, 2, 2]",6,9,9
376,G973788g8,"""G973788g8"" : 6; [9, 7, 3, 7, 8, 8]",6,7,7
377,K7f16ni6iizR,"K7f16ni6iizR : 5; [7, 1, 6, 6, 2]",5,4,4
378,3Rc0035807,"""3Rc0035807"" : 6; [3, 0, 0, 3, 5, 8]",6,8,8
379,S5mZ4B2440,"""S5mZ4B2440"" : 6; [5, 4, 2, 4, 4, 0]",6,6,6
380,NqV2wQT3S130ca,"""NqV2wQT3S130ca"" : 5; [2, 3, 1, 3, 0]",5,5,5
381,tnuU,"""tnuU"" : 0; []",0,0,0
382,n0l9,"""n0l9"" : 1; [9]",1,2,2
383,CNB,CNB : 0; [],0,0,0
384,9bH6,"""9bH6"" : 2; [9, 6]",2,2,2
385,dPq6Ht85gC,"""dPq6Ht85gC"" : 3; [6, 8, 5]",3,3,3
386,B0TI56w05,"""B0TI56w05"" : 4; [0, 5, 6, 5]",4,5,5
387,m9745PJ0CABDo3P07f9,"m9745PJ0CABDo3P07f9 : 7; [9, 7, 4, 5, 0, 3, 0]",7,9,9
388,PGZ,PGZ : 0; [],0,0,0
389,8nP8690BEB99NY99,"""8nP8690BEB99NY99"" : 8; [8, 6, 9, 0, 9, 9, 9, 9]",8,9,9
390,946Bf1729a6t,"""946Bf1729a6t"" : 5; [9, 4, 6, 1, 2, 7, 2, 9, 6]",5,8,8
391,INLHFj1ul,INLHFj1ul : 1; [1],1,1,1
392,4l6t1350,"""4l6t1350"" : 4; [1, 3, 5, 0]",4,6,6
393,Mz4sb546oD0,"""Mz4sb546oD0"" : 5; [4, 5, 4, 6, 0]",5,5,5
394,9Xp668m,"""9Xp668m"" : 4; [9, 6, 6, 8]",4,4,4
395,4V512eSoz0jD19,"""4V512eSoz0jD19"" : 6; [4, 5, 1, 2, 0, 1, 9]",6,7,7
396,K9zCViXyI,K9zCViXyI : 1; [9],1,1,1
397,8wmd29975,"""8wmd29975"" : 5; [2, 9, 9, 7, 5]",5,6,6
398,5j3sykW4,"""5j3sykW4"" : 3; [5, 3, 4]",3,3,3
399,ir0JJsDcD1,"ir0JJsDcD1 : 2; [0, 1]",2,2,2
