,all_data,gpt,counts,script,gpt_script
251,FvwwJLOKdykA,"FvwwJLOKdykA : 12; [F, v, w, w, J, L, O, K, d, y, k, A]",12,12,12
252,ciiiiiiiih,"ciiiiiiiih : 10; [c, i, i, i, i, i, i, i, i, h]",10,10,10
253,GODhue,"GODhue : 7; [G, O, D, h, u, e]",7,6,6
254,ZvZbVCKnhxVHk,"ZvZbVCKnhxVHk : 13; [Z, v, Z, b, V, C, K, n, h, x, V, H, k]",13,13,13
255,ioiis,"ioiis : 5; [i, o, i, i, s]",5,5,5
256,iiiiiiYiviii,"iiiiiiYiviii : 12; [i, i, i, i, i, i, Y, i, v, i, i, i]",12,12,12
257,HpkGSLOxGajQCrs,"HpkGSLOxGajQCrs : 15; [H, p, k, G, S, L, O, x, G, a, j, Q, C, r, s]",15,15,15
258,hEiiOiiiBiii,"hEiiOiiiBiii : 13; [h, E, i, i, O, i, i, i, B, i, i, i, i]",13,12,12
259,UZEGunMK,"UZEGunMK : 8; [U, Z, E, G, u, n, M, K]",8,8,8
260,VTUvRoXDWJAZh,"VTUvRoXDWJAZh : 13; [V, T, U, v, R, o, X, D, W, J, A, Z, h]",13,13,13
261,YnjnWCDyb,"YnjnWCDyb : 9; [Y, n, j, n, W, C, D, y, b]",9,9,9
262,qgvBNYlzYhLakDE,"qgvBNYlzYhLakDE : 14; [q, g, v, B, N, Y, l, z, Y, h, L, a, k, D, E]",14,15,15
263,DDkmTj,"DDkmTj : 6; [D, D, k, m, T, j]",6,6,6
264,VeaQRzGtd,"VeaQRzGtd : 9; [V, e, a, Q, R, z, G, t, d]",9,9,9
265,iipiiiiiiCJj,"iipiiiiiiCJj : 12; [i, i, p, i, i, i, i, i, C, J, j]",12,12,12
266,RAZeUc,"RAZeUc : 6; [R, A, Z, e, U, c]",6,6,6
267,uiiiiiiRiiisiii,"uiiiiiiiRiiisiii : 15; [u, i, i, i, i, i, i, i, R, i, i, s, i, i, i]",15,15,15
268,Ciipiiii,"Ciipiiii : 8; [C, i, i, p, i, i, i, i]",8,8,8
269,FgrBEZCV,"FgrBEZCV : 8; [F, g, r, B, E, Z, C, V]",8,8,8
270,nFuqYGbEAtemMca,"nFuqYGbEAtemMca : 15; [n, F, u, q, Y, G, b, E, A, t, e, m, M, c, a]",15,15,15
271,iiGWU,"iiGWU : 5; [i, i, G, W, U]",5,5,5
272,cGorEpQOg,"cGorEpQOg : 9; [c, G, o, r, E, p, Q, O, g]",9,9,9
273,ZTXSYnlb,"ZTXSYnlb : 8; [Z, T, X, S, Y, n, l, b]",8,8,8
274,gQfYejuGCln,"gQfYejuGCln : 11; [g, Q, f, Y, e, j, u, G, C, l, n]",11,11,11
275,JOFnSjmwYs,"JOFnSjmwYs : 10; [J, O, F, n, S, j, m, w, Y, s]",10,10,10
276,UKwtZmNZc,"UKwtZmNZc : 9; [U, K, w, t, Z, m, N, Z, c]",9,9,9
277,IKJuP,"IKJuP : 5; [I, K, J, u, P]",5,5,5
278,vWshlJ,"vWshlJ : 6; [v, W, s, h, l, J]",6,6,6
279,tIsGQdRvDtMCu,"tIsGQdRvDtMCu : 14; [t, I, s, G, Q, d, R, v, D, t, M, C, u]",14,13,13
280,pvyBSSef,"pvyBSSef : 8; [p, v, y, B, S, S, e, f]",8,8,8
281,jxwbEnUSwba,"jxwbEnUSwba : 11; [j, x, w, b, E, n, U, S, w, b, a]",11,11,11
282,jjojojjjjjjjjmj,"jjojojjjjjjjjmj : 15; [j, j, o, j, o, j, j, j, j, j, j, j, j, m, j]",15,15,15
283,Ulonlq,"Ulonlq : 6; [U, l, o, n, l, q]",6,6,6
284,jVjtjjH,"jVjtjjH : 7; [j, V, j, t, j, j, H]",7,7,7
285,RHvJFOfjmuVdy,"RHvJFOfjmuVdy : 13; [R, H, v, J, F, O, f, j, m, u, V, d, y]",13,13,13
286,jjqVjTjtjj,"jjqVjTjtjj : 10; [j, j, q, V, j, T, j, t, j, j]",10,10,10
287,EsIIOJsFuFS,"EsIIOJsFuFS : 11; [E, s, I, I, O, J, s, F, u, F, S]",11,11,11
288,cYSurxK,"cYSurxK : 7; [c, Y, S, u, r, x, K]",7,7,7
289,jwIjjjjjjjjYyjjj,"jwIjjjjjjjjYyjjj : 17; [j, w, I, j, j, j, j, j, j, j, j, Y, y, j, j, j, j]",17,16,16
290,qjuykBsHJkZ,"qjuykBsHJkZ : 11; [q, j, u, y, k, B, s, H, J, k, Z]",11,11,11
291,lFKvWSqlCYUnItr,"lFKvWSqlCYUnItr : 14; [l, F, K, v, W, S, q, l, C, Y, U, n, I, t, r]",14,15,15
292,TwrTAivGKv,"TwrTAivGKv : 10; [T, w, r, T, A, i, v, G, K, v]",10,10,10
293,RkBnrC,"RkBnrC : 6; [R, k, B, n, r, C]",6,6,6
294,mRUkEU,"mRUkEU : 6; [m, R, U, k, E, U]",6,6,6
295,fiWxIezjzcO,"fiWxIezjzcO : 11; [f, i, W, x, I, e, z, j, z, c, O]",11,11,11
296,toBgq,"toBgq : 5; [t, o, B, g, q]",5,5,5
297,kzKrYMVAlHbdWp,"kzKrYMVAlHbdWp : 14; [k, z, K, r, Y, M, V, A, l, H, b, d, W, p]",14,14,14
298,xXrCuPULuB,"xXrCuPULuB : 10; [x, X, r, C, u, P, U, L, u, B]",10,10,10
299,UlUROdwUTgDmtJC,"UlUROdwUTgDmtJC : 15; [U, l, U, R, O, d, w, U, T, g, D, m, t, J, C]",15,15,15
300,mMzACuKwzHn,"mMzACuKwzHn : 11; [m, M, z, A, C, u, K, w, z, H, n]",11,11,11
301,bwepZ,"bwepZ : 5; [b, w, e, p, Z]",5,5,5
302,cQkkxoh,"cQkkxoh : 7; [c, Q, k, k, x, o, h]",7,7,7
303,IsKfQOOvrURfGNZ,"IsKfQOOvrURfGNZ : 15; [I, s, K, f, Q, O, O, v, r, U, R, f, G, N, Z]",15,15,15
304,wGaRq,"wGaRq : 5; [w, G, a, R, q]",5,5,5
305,fpXPxfqQIvwCAja,"fpXPxfqQIvwCAja : 15; [f, p, X, P, x, f, q, Q, I, v, w, C, A, j, a]",15,15,15
306,NboZEu,"NboZEu : 6; [N, b, o, Z, E, u]",6,6,6
307,rkVkkkRkVkkk,"rkVkkkRkVkkk : 13; [r, k, V, k, k, k, R, k, V, k, k, k]",13,12,12
308,kzkkko,"kzkkko : 6; [k, z, k, k, k, o]",6,6,6
309,kfOEk,"kfOEk : 5; [k, f, O, E, k]",5,5,5
310,NtnRpWNIBm,"NtnRpWNIBm : 10; [N, t, n, R, p, W, N, I, B, m]",10,10,10
311,CLTYZ,"CLTYZ : 5; [C, L, T, Y, Z]",5,5,5
312,IclQMLmCGgsBcg,"IclQMLmCGgsBcg : 13; [I, c, l, Q, M, L, m, C, G, g, s, B, c]",13,14,14
313,kWPWYd,"kWPWYd : 6; [k, W, P, W, Y, d]",6,6,6
314,nDWIFZoeuoev,"nDWIFZoeuoev : 12; [n, D, W, I, F, Z, o, e, u, o, e, v]",12,12,12
315,tYJOvpznlUbtr,"tYJOvpznlUbtr : 13; [t, Y, J, O, v, p, z, n, l, U, b, t, r]",13,13,13
316,IJhpMe,"IJhpMe : 6; [I, J, h, p, M, e]",6,6,6
317,qYUfDEWz,"qYUfDEWz : 8; [q, Y, U, f, D, E, W, z]",8,8,8
318,yXEUsr,"yXEUsr : 6; [y, X, E, U, s, r]",6,6,6
319,NcDAEommjjkw,"NcDAEommjjkw : 12; [N, c, D, A, E, o, m, m, j, j, k, w]",12,12,12
320,XLDTMMNLlOgCdVt,"XLDTMMNLlOgCdVt : 15; [X, L, D, T, M, M, N, L, l, O, g, C, d, V, t]",15,15,15
321,IqOaTsUyBqSSCWe,"IqOaTsUyBqSSCWe : 14; [I, q, O, a, T, s, U, y, B, q, S, S, C, W, e]",14,15,15
322,kuUQVvGe,"kuUQVvGe : 8; [k, u, U, Q, V, v, G, e]",8,8,8
323,ADtMYcTEX,"ADtMYcTEX : 9; [A, D, t, M, Y, c, T, E, X]",9,9,9
324,OJNdxc,"OJNdxc : 6; [O, J, N, d, x, c]",6,6,6
325,TiMCLhjkQWrR,"TiMCLhjkQWrR : 12; [T, i, M, C, L, h, j, k, Q, W, r, R]",12,12,12
326,kykdh,"kykdh : 5; [k, y, k, d, h]",5,5,5
327,ysMEA,"ysMEA : 5; [y, s, M, E, A]",5,5,5
328,faAoD,"faAoD : 5; [f, a, A, o, D]",5,5,5
329,QecFfJWghnjhEtP,"QecFfJWghnjhEtP : 14; [Q, e, c, F, f, J, W, g, h, n, j, h, E, t, P]",14,15,15
330,bLblLmAPZLi,"bLblLmAPZLi : 11; [b, L, b, l, L, m, A, P, Z, L, i]",11,11,11
331,gdSomsFISqSpZ,"gdSomsFISqSpZ : 13; [g, d, S, o, m, s, F, I, S, q, S, p, Z]",13,13,13
332,WRMmUhLMKpv,"WRMmUhLMKpv : 11; [W, R, M, m, U, h, L, M, K, p, v]",11,11,11
333,AYHDCY,"AYHDCY : 6; [A, Y, H, D, C, Y]",6,6,6
334,fIGwepl,"fIGwepl : 7; [f, I, G, w, e, p, l]",7,7,7
335,ObeDz,"ObeDz : 5; [O, b, e, D, z]",5,5,5
336,qKjkAMidPnWoA,"qKjkAMidPnWoA : 13; [q, K, j, k, A, M, i, d, P, n, W, o, A]",13,13,13
337,sdyUI,"sdyUI : 5; [s, d, y, U, I]",5,5,5
338,OlllrleMllll,"OlllrleMllll : 12; [O, l, l, l, r, l, e, M, l, l, l, l]",12,12,12
339,ZyWcKrqdpuF,"ZyWcKrqdpuF : 11; [Z, y, W, c, K, r, q, d, p, u, F]",11,11,11
340,uPgOflr,"uPgOflr : 7; [u, P, g, O, f, l, r]",7,7,7
341,GVCEQrkhU,"GVCEQrkhU : 9; [G, V, C, E, Q, r, k, h, U]",9,9,9
342,Ekllllllljl,"Ekllllllljl : 11; [E, k, l, l, l, l, l, l, l, l, j]",11,11,11
343,lRNAKntPBwfUDyl,"lRNAKntPBwfUDyl : 15; [l, R, N, A, K, n, t, P, B, w, f, U, D, y, l]",15,15,15
344,URMrlMBnLBPW,"URMrlMBnLBPW : 12; [U, R, M, r, l, M, B, n, L, B, P, W]",12,12,12
345,MDNubpD,"MDNubpD : 7; [M, D, N, u, b, p, D]",7,7,7
346,SINQr,"SINQr : 5; [S, I, N, Q, r]",5,5,5
347,lnlllelllllZlll,"lnlllelllllZlll : 15; [l, n, l, l, l, e, l, l, l, l, l, Z, l, l, l]",15,15,15
348,dlIVtxkq,"dlIVtxkq : 8; [d, l, I, V, t, x, k, q]",8,8,8
349,QYGRGXPVh,"QYGRGXPVh : 9; [Q, Y, G, R, G, X, P, V, h]",9,9,9
350,vNORcpthBoxtc,"vNORcpthBoxtc : 13; [v, N, O, R, c, p, t, h, B, o, x, t, c]",13,13,13
351,ZpEsuTJbZKigH,"ZpEsuTJbZKigH : 13; [Z, p, E, s, u, T, J, b, Z, K, i, g, H]",13,13,13
352,OmgqDPhIjb,"OmgqDPhIjb : 10; [O, m, g, q, D, P, h, I, j, b]",10,10,10
353,lyllllNlll,"lyllllNlll : 10; [l, y, l, l, l, l, N, l, l, l]",10,10,10
354,rqZKyEH,"rqZKyEH : 7; [r, q, Z, K, y, E, H]",7,7,7
355,nRGwbNyvbq,"nRGwbNyvbq : 10; [n, R, G, w, b, N, y, v, b, q]",10,10,10
356,UnpwgWNJDYAG,"UnpwgWNJDYAG : 12; [U, n, p, w, g, W, N, J, D, Y, A, G]",12,12,12
357,QsYeRqw,"QsYeRqw : 7; [Q, s, Y, e, R, q, w]",7,7,7
358,lJXl,"lJXl : 4; [l, J, X, l]",4,4,4
359,UHFLSFFDXQywWGo,"UHFLSFFDXQywWGo : 15; [U, H, F, L, S, F, F, D, X, Q, y, w, W, G, o]",15,15,15
360,mKYBv,"mKYBv : 5; [m, K, Y, B, v]",5,5,5
361,cqhkrDwoX,"cqhkrDwoX : 9; [c, q, h, k, r, D, w, o, X]",9,9,9
362,IxoTmnxuRmm,"IxoTmnxuRmm : 11; [I, x, o, T, m, n, x, u, R, m, m]",11,11,11
363,eIRCT,"eIRCT : 5; [e, I, R, C, T]",5,5,5
364,iyZCZAGDW,"iyZCZAGDW : 9; [i, y, Z, C, Z, A, G, D, W]",9,9,9
365,qwbIBBfhR,"qwbIBBfhR : 9; [q, w, b, I, B, B, f, h, R]",9,9,9
366,wujFJPLKXLXbbn,"wujFJPLKXLXbbn : 14; [w, u, j, F, J, P, L, K, X, L, X, b, b, n]",14,14,14
367,mwmBmOmt,"mwmBmOmt : 8; [m, w, m, B, m, O, m, t]",8,8,8
368,SWeDRgYKQPYr,"SWeDRgYKQPYr : 12; [S, W, e, D, R, g, Y, K, Q, P, Y, r]",12,12,12
369,LlZCWEFsRqXt,"LlZCWEFsRqXt : 12; [L, l, Z, C, W, E, F, s, R, q, X, t]",12,12,12
370,BkNBmKkvy,"BkNBmKkvy : 9; [B, k, N, B, m, K, k, v, y]",9,9,9
371,YRqqOaCCpgPU,"YRqqOaCCpgPU : 12; [Y, R, q, q, O, a, C, C, p, g, P, U]",12,12,12
372,dCMglxPEr,"dCMglxPEr : 9; [d, C, M, g, l, x, P, E, r]",9,9,9
373,QyJNPnIaZYoNFc,"QyJNPnIaZYoNFc : 14; [Q, y, J, N, P, n, I, a, Z, Y, o, N, F, c]",14,14,14
374,AODKgfsmK,"AODKgfsmK : 9; [A, O, D, K, g, f, s, m, K]",9,9,9
375,WeHLzo,"WeHLzo : 6; [W, e, H, L, z, o]",6,6,6
376,qaHJspCstFrXGJ,"qaHJspCstFrXGJ : 14; [q, a, H, J, s, p, C, s, t, F, r, X, G, J]",14,14,14
377,BmmmmmmmQmmm,"BmmmmmmmQmmm : 13; [B, m, m, m, m, m, m, m, Q, m, m, m, m]",13,12,12
378,cMkZiNxprjxb,"cMkZiNxprjxb : 12; [c, M, k, Z, i, N, x, p, r, j, x, b]",12,12,12
379,mjmfmmmmmmmm,"mjmfmmmmmmmm : 13; [m, j, m, f, m, m, m, m, m, m, m, m, m]",13,12,12
380,PJsduNRvud,"PJsduNRvud : 10; [P, J, s, d, u, N, R, v, u, d]",10,10,10
381,dhWwduwlo,"dhWwduwlo : 9; [d, h, W, w, d, u, w, l, o]",9,9,9
382,SOwXPY,"SOwXPY : 6; [S, O, w, X, P, Y]",6,6,6
383,ZHdaeG,"ZHdaeG : 6; [Z, H, d, a, e, G]",6,6,6
384,lYLfmWNwCptaAwF,"lYLfmWNwCptaAwF : 15; [l, Y, L, f, m, W, N, w, C, p, t, a, A, w, F]",15,15,15
385,hxeOQ,"hxeOQ : 5; [h, x, e, O, Q]",5,5,5
386,QWDVSZu,"QWDVSZu : 7; [Q, W, D, V, S, Z, u]",7,7,7
387,pNGvGFSRPlsM,"pNGvGFSRPlsM : 12; [p, N, G, v, G, F, S, R, P, l, s, M]",12,12,12
388,PuGrXmtcdVZnqbY,"PuGrXmtcdVZnqbY : 15; [P, u, G, r, X, m, t, c, d, V, Z, n, q, b, Y]",15,15,15
389,FnJNg,"FnJNg : 5; [F, n, J, N, g]",5,5,5
390,PVXHgS,"PVXHgS : 6; [P, V, X, H, g, S]",6,6,6
391,Onsknl,"Onsknl : 6; [O, n, s, k, n, l]",6,6,6
392,sAXNTTVdZTowTpe,"sAXNTTVdZTowTpe : 14; [s, A, X, N, T, T, V, d, Z, T, o, w, T, p, e]",14,15,15
393,RfVisPlFLrPs,"RfVisPlFLrPs : 12; [R, f, V, i, s, P, l, F, L, r, P, s]",12,12,12
394,QEXeaPlpiUI,"QEXeaPlpiUI : 11; [Q, E, X, e, a, P, l, p, i, U, I]",11,11,11
395,xBmdiXrtIHeGf,"xBmdiXrtIHeGf : 13; [x, B, m, d, i, X, r, t, I, H, e, G, f]",13,13,13
396,tbhKJGlB,"tbhKJGlB : 8; [t, b, h, K, J, G, l, B]",8,8,8
397,abQNpilTY,"abQNpilTY : 9; [a, b, Q, N, p, i, l, T, Y]",9,9,9
398,lfdBLnFOAVy,"lfdBLnFOAVy : 11; [l, f, d, B, L, n, F, O, A, V, y]",11,11,11
399,nnnnnnnwinNnn,"nnnnnnnwinNnn : 13; [n, n, n, n, n, n, n, w, i, n, N, n, n]",13,13,13
